Index,LCSC#,MPN,Manufacturer,Package,Customer #,Description,RoHS,Quantity,MOQ,Multiple,Unit Price($),Extended Price($),Product Link
1,C42414591,TAD5242IRGER,TI,VQFN-24(4x4),,Encoder/decoder I2S 8kHz~192kHz VQFN-24(4x4) CODECS RoHS,yes,1,1,1,5.6209,5.62,https://www.lcsc.com/product-detail/C42414591.html
2,C3151751,TYPE-C 24P-GTJB 040,SHOU HAN,SMD,,USB-C (USB TYPE-C) Receptacle Connector 24 Position Clamp Plate,yes,5,5,5,0.1303,0.65,https://www.lcsc.com/product-detail/C3151751.html
3,C20885029,T201640MFBDE2X,Yajingxin,SMD2016-4P,,Crystal 40MHz ±10ppm 12pF SMD2016-4P,yes,10,10,10,0.0799,0.80,https://www.lcsc.com/product-detail/C20885029.html
4,C133572,LP5907SNX-3.3/NOPB,TI,XDFN-4-EP(1x1),,"3.3V Positive Fixed XDFN-4-EP(1x1) Voltage Regulators - Linear, Low Drop Out (LDO) Regulators RoHS",yes,5,5,5,0.1642,0.82,https://www.lcsc.com/product-detail/C133572.html
5,C2913196,ESP32-S3FN8,ESPRESSIF,QFN-56-EP(7x7),,32 Bit QFN-56-EP(7x7) RF Transceiver ICs RoHS,yes,1,1,1,3.6546,3.65,https://www.lcsc.com/product-detail/C2913196.html
6,C915854,TCC0402X7R224K250AT,CCTC,0402,,220nF ±10% 25V Ceramic Capacitor X7R 0402,yes,50,50,50,0.0041,0.21,https://www.lcsc.com/product-detail/C915854.html
7,C1525,CL05B104KO5NNNC,Samsung Electro-Mechanics,0402,,100nF ±10% 16V Ceramic Capacitor X7R 0402,yes,100,100,100,0.0053,0.53,https://www.lcsc.com/product-detail/C1525.html
8,C96446,CL10A106MA8NRNC,Samsung Electro-Mechanics,0603,,10uF ±20% 25V Ceramic Capacitor X5R 0603,yes,20,20,20,0.1479,2.96,https://www.lcsc.com/product-detail/C96446.html
9,C52923,CL05A105KA5NQNC,Samsung Electro-Mechanics,0402,,1uF ±10% 25V Ceramic Capacitor X5R 0402,yes,20,20,20,0.0267,0.53,https://www.lcsc.com/product-detail/C52923.html
10,C2906885,FRC0402J103 TS,FOJAN,0402,,10kΩ ±5% 62.5mW 0402 Thick Film Resistor,yes,100,100,100,0.0023,0.23,https://www.lcsc.com/product-detail/C2906885.html
11,C2906948,FRC0402J512 TS,FOJAN,0402,,5.1kΩ ±5% 62.5mW 0402 Thick Film Resistor,yes,100,100,100,0.0025,0.25,https://www.lcsc.com/product-detail/C2906948.html
