Index,LCSC#,MPN,Manufacturer,Package,Customer #,Description,RoHS,Quantity,MOQ,Multiple,Unit Price($),Extended Price($),Product Link
1,C3151751,TYPE-C 24P-GTJB 040,SHOU HAN,SMD,,USB-C (USB TYPE-C) Receptacle Connector 24 Position Clamp Plate,yes,5,5,5,0.1303,0.65,https://www.lcsc.com/product-detail/C3151751.html
2,C965907,CS43131-CNZR,Cirrus Logic,LQFN-40-EP(5x5),,LQFN-40-EP(5x5) Digital to Analog Converters (DAC) RoHS,yes,2,1,1,3.6272,7.25,https://www.lcsc.com/product-detail/C965907.html
3,C49329913,XTM32024576DT00351001,TOGNJING,SMD3225-4P,,Crystal 24.576MHz ±10ppm 8pF 30Ω SMD3225-4P,yes,10,10,10,0.0617,0.62,https://www.lcsc.com/product-detail/C49329913.html
4,C1338489,STM32F048G6U6,ST,UFQFPN-28(4x4),,ARM Cortex-M0 32 Bit 48MHz 23 UFQFPN-28(4x4) Microcontrollers RoHS,yes,2,1,1,4.0050,8.01,https://www.lcsc.com/product-detail/C1338489.html
5,C1525,CL05B104KO5NNNC,Samsung Electro-Mechanics,0402,,100nF ±10% 16V Ceramic Capacitor X7R 0402,yes,100,100,100,0.0053,0.53,https://www.lcsc.com/product-detail/C1525.html
6,C92498,LP5907MFX-1.8/NOPB,TI,SOT-23-5,,Linear Voltage Regulator IC Positive Fixed 1 Output 250mA SOT-23-5,yes,5,5,5,0.1927,0.96,https://www.lcsc.com/product-detail/C92498.html
7,C133572,LP5907SNX-3.3/NOPB,TI,XDFN-4-EP(1x1),,"3.3V Positive Fixed XDFN-4-EP(1x1) Voltage Regulators - Linear, Low Drop Out (LDO) Regulators RoHS",yes,5,5,5,0.1687,0.84,https://www.lcsc.com/product-detail/C133572.html
8,C20539421,TCC0402X5R225K100AT,CCTC,0402,,2.2uF ±10% 10V Ceramic Capacitor X5R 0402,yes,50,50,50,0.0098,0.49,https://www.lcsc.com/product-detail/C20539421.html
9,C3832603,GRM155R60G156ME15D,muRata,0402,,15uF X5R ±20% 4V 0402 Ceramic Capacitors RoHS,yes,10,10,10,0.0614,0.61,https://www.lcsc.com/product-detail/C3832603.html
10,C5137473,FCC0402X105K100AT,FOJAN,0402,,1uF ±10% 10V Ceramic Capacitor X5R 0402,yes,50,50,50,0.0122,0.61,https://www.lcsc.com/product-detail/C5137473.html
11,C2906948,FRC0402J512 TS,FOJAN,0402,,5.1kΩ ±5% 62.5mW 0402 Thick Film Resistor,yes,100,100,100,0.0025,0.25,https://www.lcsc.com/product-detail/C2906948.html
12,C2906941,FRC0402J472 TS,FOJAN,0402,,4.7kΩ ±5% 62.5mW 0402 Thick Film Resistor,yes,100,100,100,0.0020,0.20,https://www.lcsc.com/product-detail/C2906941.html
13,C5448819,TCC0402COG6R8C500AT,CCTC,0402,,6.8pF 50V Ceramic Capacitor C0G 0402,yes,50,50,50,0.0018,0.09,https://www.lcsc.com/product-detail/C5448819.html
14,C59461,CL10A226MQ8NRNC,Samsung Electro-Mechanics,0603,,22uF ±20% 6.3V Ceramic Capacitor X5R 0603,yes,20,20,20,0.0438,0.88,https://www.lcsc.com/product-detail/C59461.html
15,C2906885,FRC0402J103 TS,FOJAN,0402,,10kΩ ±5% 62.5mW 0402 Thick Film Resistor,yes,100,100,100,0.0024,0.24,https://www.lcsc.com/product-detail/C2906885.html
